Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
Olathe (Colo 3439)|Colorado State Univ. Exp. Stat., Fort Collins, CO.||Pinto, type III growth habit, moderate early maturity.||western states. Crop Sci. 22:1259-1260, 1982. 1979.|BCMV (NY15 strain), many rust races.|Pinto 5958-B-1 (USDA)/Red Kidney B23.
Onyx (Rog925)|Novartis Seeds, Inc. Nampa, Idaho.||black bean, type IIA growth habit, moderately late.|||BCMV (I gene) and anthracnose race 07. 1999.|
Opal (D76035)|Rogers Bros. Seed Co.|Rogers Bros. Seed Co.|Semi-vine navy bean.|Aurora.|western US. 1982.|BCMV, anthracnose (alpha and gamma strains).|Gratiot x UI-SW-44.
Oro Rico (70-R-108-BK-A)|USDA and Agric. Exp. Stat., Univ. of Puerto Rico.||High yielding pink bean, upright bush to semi-vine habit.||tropical lowland environments. 1976.|BCMV, rhizoctonia root rot, moderately resistant to powdery mildew.|Two bush plants selected from PI 207180 (Brazil).
Othello (GH-215)|USDA-ARS and Agric. Exp. Sta., Idaho and Oregon.||Pinto, type IIIa growth habit, early maturity.||western states US. Crop Sci. 35:943, 1995. 1986.|BCMV (ibc 22 genes), curly top; field resistance to fusarium root rot.|Pinto NW-410/2/Pink Victor/Aurora.
Ouray (Colo 15B)|Colorado State Univ. Exp. Stat., Fort Collins, CO.||Pinto, upright bush growth habit, early maturity.||western US under irrigation. Crop Sci. 22:1260, 1982. 1972.|BCMV, some rust races; susceptible to common bacterial blight, white mold.|Sanilac/Pinto UI 111//Light Red Kidney/Pinto 5439-1.
Palmarejo (70-R-31)|USDA and Agric. Exp. Stat., Univ. of Puerto Rico.||Bush bean of medium height, stem resistant to lodging, good yield under lowland tropical conditions, pink mottled seed color.|||BCMV, rust races endemic to Puerto Rico. 1976.|Origin, PI 207139 (Colombia).
Panther (RNK903)|Rogers Seed Co., Nampa, Idaho.|Rogers Seed Co., Nampa, Idaho.|Black bean, type IIa growth habit, moderately late.||northern US. 1995.|BCMV (I gene).|
PC-50|CIAS, Ministry of Agriculture, Dominican Republic, University of Nebraska, University of Puerto Rico.||Type I determinate growth habit, matures in 55-60 days, red mottled medium sized elliptical seed, yields exceed Pompadour Checa.|||rust, susceptible to BGMV, BCMV, web blight and common blight. Crop Sci. 40:858, 2000. 1987.|SPS from Pompadour Checa landrace.
Phantom (B95204)|Michigan Agric. Expt. Stn, Michigan and USDA-ARS.||upright indeterminate (Type II), midseason, flat black seed with satisfactory cooking quality.|||BCMV (I gene), anthracnose, and rust; tolerant to root rot and white mold; susceptible to common blight. Crop Sci. 40:572, 2000. 1999.|Raven/N90618.
Pilgrim (PVD865)|Wilbur Ellis Seed Div., Spokane, WA.|Wilbur Ellis Seed Div., Spokane, WA.|early, type I bush, long burgundy splashed pods, very high yield capabilities, very concentrated bloom and pod set, seeds kidney shaped, similar color to cranberry, outstanding root system.|||BCMV (1, NY15), curly top, bean root rots. 1982.|
Pindak (GR-35)|USDA-ARS, Agric. Exp. Sta., Washington and North Dakota.||upright vine, uniform plump pinto seed, high yielding.|||BCMV (NY15), curly top, fusarium root rot, rust. Crop Sci. 157, 1981. 1981.|Japanese bush bean//UI 114//UI 114 1/PI203958.
Pink Panther (EX 08590462)|Seminis Vegetable Seeds-Asgrow.|Seminis Vegetable Seeds-Asgrow.|light red kidney type with improved grain quality, good processed quality, high yield, early maturity, and good plant type.|Cal Early Light Red, Foxfire.|Northeast U.S. 2003.|bean common mosaic Virus (I gene).|inbred line, parentage not disclosed.
Pinto No. 5|USDA, Plant Ind. Stat., Beltsville, MD.||Pinto.||western US. Southern Seedsman August. 1946.|rust.|No. 780 x Idaho Pinto.
Pinto No. 14|USDA, Plant Ind. Stat., Beltsville, MD.||Pinto.||western US. Southern Seedsman August. 1946.|rust.|No. 780 x Idaho Pinto.
PR9443-4|Puerto Rico Agric. Expt. Stn. and USDA-ARS.||erect indeterminate short-vine Type II growth habit, midseason, light red kidney seed type.|||BGMV in trials in PR, DR, and Haiti; resistant to common blight and rust and BCMV (I gene). 1999.|T969-2/DOR303.
Prairie (ROG523)|Rogers Seed Co., Nampa, Idaho.|Rogers Seed Co., Nampa, Idaho.|Great Northern bean, type IIIb growth habit, moderately late.|||BCMV. 1996.|
PR-H-71-1-R101|USDA-ARS, Federal Exp. Stat., Mayaguez, Puerto Rico.||Black bean, seed pea bean shape, viny plant habit.|||BCMV, rust, cowpea mosaic virus (PR). 1974.|female parent PI 200956/Male parent unknown.
PR-H-71-1-R113|USDA-ARS, Federal Exp. Stat., Mayaguez, Puerto Rico.||Black bean, dull color, semi-viny habit.|||BCMV, rust, cowpea mosaic virus (PR). 1974.|female parent PI 289377/male parent unknown.
PR-H-71-1-R136|USDA-ARS, Federal Exp. Stat., Mayaguez, Puerto Rico.||Black, pea bean shape seed, dull color, semi-viny habit.|||BCMV, rust, cowpea mosaic virus (PR). 1974.|female parent PI 195364/male parent unknown.
