Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
Southern Cross (P310)|W.C. Barnes, Clemson University Agric. Expt. Sta., Charleston, SC and Asgrow Seed Co.||predominantly gynoecious hybrid pickler, white spined, early, productive.|Pixie.|southern pickle areas. 1967.|downy mildew, powdery mildew, anthracnose, angular leaf spot, cucumber mosaic virus.|Gy 3 x SC 10.
Southern Pickler|Arkansas Agric. Expt. Sta., Fayetteville.||early, cluster setting, easy to pick, good quality fruit.|MR 17.|southern United States. Ark. Farm. Res. 4:9. 1961.|tolerance to cucumber mosaic virus.|Producer x Ohio MR 17.
Southernsett (GDR3)|Joseph Harris Co.|Joseph Harris Co.|open pollinated, early.|Marketmore 70.|wide. 1980.|scab, cucumber mosaic virus, tolerance to downy mildew, powdery mildew.|
Spacemaster|H. Munger, Cornell University.|Burpee Seed.|monoecious slicer inbred, dwarf determinate version of Tablegreen 65, 56 days to harvest, white spined, dark green, 7.5-2.5' fruit.|||cucumber mosaic virus, scab, moderate to downy mildew, moderate to powdery mildew. 1972.|
Spacemaster 80|H. Munger, Cornell University.||bitterfree Spacemaster. 1980.||||
Spartan Advance (MSU 6515-3)|Michigan Agric. Expt. Sta., East Lansing.|Castle Seeds.|gynoecious hybrid, high fruit count for mechanical harvest.|Picadilly, Spartan Progress.|western, upper midwestern United States. 1970.|scab, cucumber mosaic virus.|MSU 35G x MSU 305M.
Spartan Champion|Michigan Agric. Expt. Sta., East Lansing.||F1, early, high yielding, good brining quality.|Spartan Dawn.|northern pickle areas. 1964.|cucumber mosaic virus, scab.|MSU 713-5 - x MSU 238.
Spartan Dawn|Michigan Agric. Expt. Sta., East Lansing.||early, productive, high percentage of small fruit, very few male flowers, necessary to mix pollen parent seed or interplant with pollinator.|Wisconsin SMR 15.|northern United States. 1962.|scab, cucumber mosaic virus.|MSU 713-5 x Spartan 27.
Spartan Reserve|Michigan Agric. Expt. Sta., East Lansing.||F1, early, high yielding.|Spartan Dawn.|northern pickle areas. 1964.|cucumber mosaic virus, scab.|MSU 7 x Spartan 27.
Spartan Salad (C7-63)|C.E. Peterson, Michigan State University.||monoecious inbred, slight taper, 7.5 x 2' fruit, black spined, uniform shape and size, medium green, 60 day maturity, for pickling and slicing.|||downy mildew, powdery mildew, scab, cucumber mosaic virus.|
Spartan Valor (MSU 844 x 915)|Michigan State University, East Lansing.|Dessert Seed Co.|F1, gynoecious, slicer.|Tablegreen, Spartan Green.|northern United Sates. 1968.|scab, cucumber mosaic virus.|MSU 844 x MSU 915.
Spear-It (FX-4103)|Ferry-Morse Seed Co.|Ferry-Morse Seed Co.|F1 hybrid pickle, good yield fruit type and color, L/D 2.8, has ability to hold shape under stress, some multiple set for mechanical harvest.||North Carolina, Michigan, California. 1979.|tolerance to scab, cucumber mosaic virus, angular leaf spot, powdery mildew, downy mildew, anthracnose.|
Spear-It III [E0209 (FX4309)]|Ferry-Morse Seed Co.|Ferry-Morse Seed Co.|F1 hybrid pickle, white spined, good color and fruit length.|Spear-It.|wide. 1981.|tolerance to scab, cucumber mosaic virus, angular leaf spot, downy mildew, powdery mildew, anthracnose.|
Speedway (PSX 104388)|Petoseed.|Petoseed.|predominantly gynoecious hybrid slicer, early maturity, 56 days, fruit cylindrical, blocky, uniform dark green skin, strong vigorous vine, high yield.|||cucumber mosaic virus, powdery mildew, scab, downy mildew, anthracnose, angular leaf spot. 1991.|
Spiffy (Hybrid 2667)|Keystone Seed Co.|Keystone Seed Co.|F1 hybrid, black spined, pickler, gynoecious, intended for either once-over mechanical harvest or multi-pick, extra vigorous vines, produces well shaped, well warted, light green pickles.|Pioneer.|wide. 1979.|scab, tolerance to powdery mildew.|MSU35G x Keystone inbred.
Sprint (XP 1048)|Asgrow Seed Co.|Asgrow Seed Co.|predominantly gynoecious hybrid slicer, white spined; Sprint S has Poinsett 76 pollenizer (southern production), Sprint N has Marketmore 76 pollenizer (northern production).|Poinsett but 4-6 days earlier.|general. 1972.|anthracnose, downy mildew, powdery mildew, scab, cucumber mosaic virus.|Asgrow lines.
Sprint 440 (XP1190)|Asgrow Seed Co.|Asgrow Seed Co.|F1 hybrid, gynoecious, very high yield, potential beginning early in the pickling stage.|Sprint.|wide. 1978.|scab, tolerance to angular leaf spot.|
Spunky (HMX 0469)|Gary Taurick.|Harris Moran.|pickling type; medium green color with very uniform, straight, blocky fruit; very small seedcell with slow seed development; 3.0 L/D ratio.||U.S. 2003.||F1 hybrid.
SR 551|H. Munger, Cornell University.||monoecious inbred pickler, white spined, vigorous, late maturing.|Wis. SMR 18.||scab, cucumber mosaic virus.|
Stallion (PS 14692)|B. Johnson.|Seminis Vegetable Seeds, Asgrow Brand.|short vines, strong plant, 2-3 pistillate flowers per node.||midwestern U.S. 1998.|angular leafspot, anthracnose race 1, scab, powdery mildew, downy mildew.|F1 hybrid.
Stokes Early Hybrid|Stokes Seed.|Stokes Seed.|predominantly gynoecious hybrid slicer, 8' fruit length, 55 day maturity.|||moderate to downy mildew and cucumber mosaic virus.|
Stonewall (HMX-8416)|G. Taurick.|Harris Moran.|slicer type, uniform dark green fruit.|General Lee.|U.S. cucumber production areas. 2002.|anthracnose, angular leafspot, powdery mildew, downy mildew, scab, cucumber mosaic virus.|F1 hybrid.
Stono|South Carolina Truck Expt. Sta. Charleston.||midseason, vigorous, productive, medium green fruit color.|Colorado cultivar.|southern United States, possibly other regions. Seedsmans Digest February, 1955. 1956.|downy mildew.|South Carolina breeding lines that include Puerto Rico 37 and 40, Cubit and Colorado.
Straight Eight (Straight 8)|Ferry-Morse.|Ferry-Morse.|monoecious inbred slicer, 58-65 day maturity, all purpose cultivar, vigorous vines, fruit dark green, straight, 8-9 x 2-2.25' size, white spined, cylindrical, blunt ends, uniform shape and size.|||none. 1935.|
Straight Nine (Z609-83)|Hollar.|Hollar.|monoecious inbred slicer, fruit longer than Ashley, 8.5' long, medium dark green, somewhat pointed blossom end.|Ashley. 1984.||downy mildew, powdery mildew.|
Streamliner|W. Atlee Burpee Co.|W. Atlee Burpee Co.|F1 hybrid, gynoecious, compact vines, 9.5-10' fruit length, slender fruit, medium green color.||wide. 1981.|cucumber mosaic virus, mildew.|
Streamliner Hybrid|W. Atlee Burpee Co.|W. Atlee Burpee Co.|predominantly gynoecious hybrid trellis slicer, 60 day maturity, extra long, slender, thick flesh, small seedcell, 11' fruit length.||trellis or garden.|powdery mildew, cucumber mosaic virus.|
Striker (XPH 1471)|Asgrow.|Asgrow.|predominantly gynoecious hybrid slicer, for use where Marketmore 76 is planted, fruit slightly longer than Marketmore 76, second early maturity, white spined, 8-9' length, blocky ends.|Marketmore 76.||downy mildew, powdery mildew, cucumber mosaic virus, anthracnose, angular leaf spot, scab.|
Sumter (SC 38A)|W.C. Barnes, Clemson Agric. Expt. Sta. and Asgrow Seed Co.|Asgrow Seed Co.|white spined, medium green fruit, small seed cavity.||general. 1973.|downy mildew, powdery mildew, anthracnose, angular leaf spot, scab, cucumber mosaic virus, watermelon mosaic virus.|complicated: involves PIs 197087, 196289, Asgrow lines, and Wisconsin SMR 18.
Sumter u|H. Munger, Cornell University.||Sumter with uniform green fruit gene.||||
Sunny South||Nat. Seed Storage Lab.|monoecious inbred.||||
Super Slice (870)|Northrup King and Co.|Northrup King and Co.|F1 hybrid, monoecious, main season, white spined, slicer.|||tolerance to scab, cucumber mosaic virus. 1976.|
